"","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"206","CORRIENTES, AR",1980-07-27,0,14.8,NA,5
"207","CORRIENTES, AR",1980-07-28,0,21.6,NA,12
"208","CORRIENTES, AR",1980-07-29,NA,14.5,30,NA
"209","CORRIENTES, AR",1980-07-30,0,9.7,15,4
"210","CORRIENTES, AR",1980-07-31,0,8.4,NA,-1
"211","CORRIENTES, AR",1980-08-01,0,11.3,NA,1
"212","CORRIENTES, AR",1980-08-02,NA,16.2,NA,NA
"213","CORRIENTES, AR",1980-08-03,0,21.9,NA,17
"214","CORRIENTES, AR",1980-08-04,0,22.1,NA,NA
"215","CORRIENTES, AR",1980-08-05,14,13.5,NA,13
"216","CORRIENTES, AR",1980-08-06,0,15.6,NA,NA
"217","CORRIENTES, AR",1980-08-07,0,17.8,NA,12
"218","CORRIENTES, AR",1980-08-08,0,17.4,26,7
"219","CORRIENTES, AR",1980-08-09,0,18,NA,8
"220","CORRIENTES, AR",1980-08-10,0,20.6,NA,10
"221","CORRIENTES, AR",1980-08-11,0,19.3,28,13
"222","CORRIENTES, AR",1980-08-12,0,17.4,25,9
"223","CORRIENTES, AR",1980-08-13,5.1,16.7,25,14
"224","CORRIENTES, AR",1980-08-14,46,18,NA,13
"225","CORRIENTES, AR",1980-08-15,0,21.2,NA,11
"226","CORRIENTES, AR",1980-08-16,0,24.3,NA,17
"227","CORRIENTES, AR",1980-08-17,0,17.9,31,16
"228","CORRIENTES, AR",1980-08-18,0,18.6,NA,14
"229","CORRIENTES, AR",1980-08-19,4.1,18.1,NA,12
"230","CORRIENTES, AR",1980-08-20,0.5,16.7,21,14
"231","CORRIENTES, AR",1980-08-21,1,19.2,NA,16
"232","CORRIENTES, AR",1980-08-22,0,16,NA,NA
"233","CORRIENTES, AR",1980-08-23,0,12.4,NA,2
"234","CORRIENTES, AR",1980-08-24,0,14.8,NA,NA
"235","CORRIENTES, AR",1980-08-25,0,16.5,NA,7
"236","CORRIENTES, AR",1980-08-26,0,13.2,23,7
"237","CORRIENTES, AR",1980-08-27,0,11.7,NA,3
"238","CORRIENTES, AR",1980-08-28,0,16.1,NA,3
"239","CORRIENTES, AR",1980-08-29,0,20.9,NA,10
"240","CORRIENTES, AR",1980-08-30,0,23.4,NA,17
"241","CORRIENTES, AR",1980-08-31,0,23.1,30,17
"242","CORRIENTES, AR",1980-09-01,0,17.8,29,16
"243","CORRIENTES, AR",1980-09-02,9.9,18,NA,12
"244","CORRIENTES, AR",1980-09-03,0,20.7,NA,11
"245","CORRIENTES, AR",1980-09-04,0,14.6,27,4
"246","CORRIENTES, AR",1980-09-05,0,15.6,NA,5
"247","CORRIENTES, AR",1980-09-06,0,20.2,NA,8
"248","CORRIENTES, AR",1980-09-07,0,22.3,NA,12
"249","CORRIENTES, AR",1980-09-08,0,18.7,30,14
"250","CORRIENTES, AR",1980-09-09,0,14.9,21,6
"251","CORRIENTES, AR",1980-09-10,0,15.2,NA,2
"252","CORRIENTES, AR",1980-09-11,NA,16.6,NA,NA
"253","CORRIENTES, AR",1980-09-12,NA,21.4,NA,NA
"254","CORRIENTES, AR",1980-09-13,0,23.4,NA,16
"255","CORRIENTES, AR",1980-09-14,6.1,19.6,31,NA
"256","CORRIENTES, AR",1980-09-15,0,12.7,NA,NA
"257","CORRIENTES, AR",1980-09-16,0,9.4,NA,2
"258","CORRIENTES, AR",1980-09-17,NA,10.2,15,NA
"259","CORRIENTES, AR",1980-09-18,NA,13.4,NA,NA
"260","CORRIENTES, AR",1980-09-19,NA,17.1,NA,NA
"261","CORRIENTES, AR",1980-09-20,0,19.2,NA,12
"262","CORRIENTES, AR",1980-09-21,0,19.1,26,12
"263","CORRIENTES, AR",1980-09-22,0,17.2,NA,6
"264","CORRIENTES, AR",1980-09-23,0,15.7,22,5
"265","CORRIENTES, AR",1980-09-24,0,19.7,NA,8
"266","CORRIENTES, AR",1980-09-25,0,20.4,26,9
"267","CORRIENTES, AR",1980-09-26,0,21.4,NA,NA
"268","CORRIENTES, AR",1980-09-27,17,16.4,30,15
"269","CORRIENTES, AR",1980-09-28,17,16.2,NA,13
"270","CORRIENTES, AR",1980-09-29,0,19.8,NA,10
"271","CORRIENTES, AR",1980-09-30,0,26.4,NA,16
"272","CORRIENTES, AR",1980-10-01,0,30.3,NA,25
"273","CORRIENTES, AR",1980-10-02,0,18.6,NA,14
"274","CORRIENTES, AR",1980-10-03,6.1,16.6,22,14
"275","CORRIENTES, AR",1980-10-04,0,15.9,NA,14
"276","CORRIENTES, AR",1980-10-05,0,17,NA,7
"277","CORRIENTES, AR",1980-10-06,0,16.1,22,7
"278","CORRIENTES, AR",1980-10-07,0,17.1,NA,11
"279","CORRIENTES, AR",1980-10-08,0,19.6,NA,15
"280","CORRIENTES, AR",1980-10-09,0,19.4,NA,9
"281","CORRIENTES, AR",1980-10-10,NA,19.6,NA,NA
"282","CORRIENTES, AR",1980-10-11,2,20.9,NA,13
"283","CORRIENTES, AR",1980-10-12,0,21.5,26,13
"284","CORRIENTES, AR",1980-10-13,0,22.9,NA,13
"285","CORRIENTES, AR",1980-10-14,0,24.8,NA,16
"286","CORRIENTES, AR",1980-10-15,0,26.5,NA,15
"287","CORRIENTES, AR",1980-10-16,0,26.7,32,17
"288","CORRIENTES, AR",1980-10-17,0,27.6,NA,17
"289","CORRIENTES, AR",1980-10-18,NA,22.5,NA,NA
"290","CORRIENTES, AR",1980-10-19,26.9,25.2,NA,18
"291","CORRIENTES, AR",1980-10-20,9.9,28.1,NA,23
"292","CORRIENTES, AR",1980-10-21,0,27.3,32,23
"293","CORRIENTES, AR",1980-10-22,41.9,19,NA,NA
"294","CORRIENTES, AR",1980-10-23,4.1,16.4,20,12
"295","CORRIENTES, AR",1980-10-24,0,17.9,NA,12
"296","CORRIENTES, AR",1980-10-25,0,24.1,NA,16
